trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.96, 'e': 0.09369825790484439}",25,16,16.40366676620024,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.96, 'e': 0.0899503275886506}",20,9,17.851104315480878,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.96, 'e': 0.08635231448510458}",20,11,17.286784552547665,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.96, 'e': 0.08289822190570038}",25,13,24.05789870780097,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.96, 'e': 0.07958229302947237}",20,12,9.49380977655967,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.96, 'e': 0.07639900130829347}",30,12,12.246465745283018,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.96, 'e': 0.07334304125596174}",25,16,9.980904549215767,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.96, 'e': 0.07040931960572326}",25,18,15.002057141573413,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.96, 'e': 0.06759294682149433}",25,0,45.389508485807596,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.96, 'e': 0.06488922894863455}",30,7,38.32320438502486,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.96, 'e': 0.06229365979068917}",35,24,18.96082686176187,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.96, 'e': 0.0598019133990616}",25,17,16.75436436347871,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.96, 'e': 0.05740983686309913}",20,11,6.18568392719827,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.96, 'e': 0.05511344338857516}",20,6,23.204249489954726,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.96, 'e': 0.052908905653032155}",20,8,24.187754960304094,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.96, 'e': 0.05079254942691087}",20,14,10.211358776284435,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.96, 'e': 0.04876084744983443}",25,20,12.30675063138095,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.96, 'e': 0.046810413551841054}",25,15,-22.40491470204514,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.96, 'e': 0.04493799700976741}",25,15,20.054250477271676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.96, 'e': 0.043140477129376714}",20,9,21.874239411424536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.96, 'e': 0.04141485804420164}",20,15,2.757430202077554,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.96, 'e': 0.03975826372243357}",25,18,13.552466560786298,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.96, 'e': 0.03816793317353623}",20,10,17.01580253646681,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.96, 'e': 0.03664121584659478}",20,6,22.010424788452617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.96, 'e': 0.03517556721273098}",25,13,1.3275381503629191,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.96, 'e': 0.03376854452422175}",20,13,11.687889484493397,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.96, 'e': 0.03241780274325288}",20,10,9.258368022317555,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.96, 'e': 0.03112109063352276}",25,14,20.009660726073108,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.96, 'e': 0.029876247008181846}",20,10,9.87255671255435,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.96, 'e': 0.028681197127854573}",20,10,15.544881668961866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.96, 'e': 0.02753394924274039}",20,6,16.036256291381125,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.96, 'e': 0.026432591273030773}",20,13,10.537815604999055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.96, 'e': 0.02537528762210954}",25,14,0.28632298314764393,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
